seqnames	start	end	width	strand	name	log2FC.IFNy_vs_vehicle.	strand.1	IFNy	vehicle	summit	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	GENENAME
chr1	502417	502816	400	*	IFNy	1.24566611070015	+	133.509684323012	56.3027885662915	502616	Promoter	1	494464	502508	8045	2	100132287	ENST00000440038.7	0	NA
chr1	733732	734131	400	*	IFNy	1.15210928963866	+	86.7812948099577	39.0487081992021	733931	Promoter	1	594458	733064	138607	2	100288069	ENST00000648019.1	-668	NA
chr1	1013185	1013584	400	*	IFNy	1.81653378153552	+	665.323260209676	188.886774544978	1013384	Promoter	1	1013497	1014540	1044	1	9636	ENST00000649529.1	0	ISG15
chr1	1740999	1741398	400	*	IFNy	1.06501987880016	+	123.496457998786	59.0271170453056	1741198	Intron (ENST00000647043.1/9906, intron 2 of 6)	1	1734690	1739557	4868	2	9906	ENST00000643943.1	-1442	SLC35E2
chr1	2180509	2180908	400	*	IFNy	1.04633185789539	+	65.6422614588142	31.7838322551645	2180708	Intron (ENST00000378567.8/5590, intron 16 of 17)	1	2181794	2183875	2082	2	100506504	ENST00000333854.2	2967	NA
chr1	2234390	2234789	400	*	IFNy	1.58214382709948	+	532.926156589356	177.989460628921	2234589	Intron (ENST00000378536.5/6497, intron 1 of 6)	1	2232479	2303038	70560	1	6497	ENST00000508416.1	1911	SKI
chr1	2257234	2257633	400	*	IFNy	1.02415506705071	+	92.3441983234165	45.405474650235	2257433	Intron (ENST00000378536.5/6497, intron 1 of 6)	1	2247996	2303376	55381	1	6497	ENST00000478223.2	9238	SKI
chr1	2556307	2556706	400	*	IFNy	1.88606220708307	+	396.078730158269	107.156920174555	2556506	Promoter	1	2556366	2563829	7464	1	8764	ENST00000355716.4	0	TNFRSF14
chr1	3069979	3070378	400	*	IFNy	1.79281771256172	+	201.37710718721	58.1190075523009	3070178	Promoter	1	3069211	3434342	365132	1	63976	ENST00000514189.5	768	PRDM16
chr1	3306623	3307022	400	*	IFNy	1.36825995278275	+	65.6422614588142	25.4270658041316	3306822	Exon (ENST00000607061.1/ENST00000607061.1, exon 1 of 1)	1	3244132	3386918	142787	1	63976	ENST00000463591.1	62491	PRDM16
chr1	3441383	3441782	400	*	vehicle	-1.53015041243741	+	14.463549134993	41.7730366782162	3441582	Distal Intergenic	1	3454665	3481113	26449	1	27237	ENST00000378378.9	-12883	ARHGEF16
