CHR	START	END	name	log2FC(IFNy_vs_vehicle)	strand	IFNy	vehicle	summit
chr1	3441382	3441782	vehicle	-1.53015041243741	+	14.463549134993	41.7730366782162	3441582
chr1	3543314	3543714	vehicle	-1.12082996062766	+	162.436782592998	353.254592778829	3543514
chr1	4428765	4429165	vehicle	-1.72197851598746	+	26.7019368646024	88.086620821456	4428965
chr1	4644989	4645389	vehicle	-1.07899695190845	+	18.91387194576	39.9568176922068	4645189
chr1	4752059	4752459	vehicle	-1.1255295291039	+	57.8541965399718	126.227219527653	4752259
chr1	7046296	7046696	vehicle	-1.18236618406815	+	45.6158088103624	103.524482202536	7046496
chr1	8412167	8412567	vehicle	-1.27092905971482	+	25.5893561619106	61.7514455243197	8412367
chr1	11180349	11180749	vehicle	-1.50672952403566	+	30.0396789726777	85.3622923424419	11180549
chr1	12798948	12799348	vehicle	-1.05216366057018	+	41.1654859995953	85.3622923424419	12799148
chr1	14443511	14443911	vehicle	-1.26996436891265	+	73.4303263776565	177.081351135917	14443711
chr1	14653496	14653896	vehicle	-1.17097527428128	+	32.2648403780612	72.6487594403761	14653696
chr1	17636532	17636932	vehicle	-1.1809593628539	+	20.0264526484518	45.405474650235	17636732
chr1	19156631	19157031	vehicle	-1.23427517738636	+	56.7416158372801	133.492095471691	19156831
chr1	20171472	20171872	vehicle	-1.15181301719438	+	20.0264526484518	44.4973651572303	20171672
chr1	22665785	22666185	vehicle	-1.04806509235656	+	16.6887105403765	34.5081607341786	22665985
chr1	24576147	24576547	vehicle	-1.02895626940885	+	24.4767754592188	49.9460221152586	24576347
chr1	26872396	26872796	vehicle	-1.02895626940885	+	15.5761298376847	31.7838322551645	26872596
chr1	28751310	28751710	vehicle	-1.40746789266258	+	26.7019368646024	70.8325404543667	28751510
chr1	31562923	31563323	vehicle	-1.0065884563804	+	28.9270982699859	58.1190075523009	31563123
chr1	32273775	32274175	vehicle	-1.21984088948681	+	45.6158088103624	106.24881068155	32273975
chr1	32508119	32508519	vehicle	-1.4175215573265	+	12.2383877296094	32.6919417481692	32508319
chr1	34592207	34592607	vehicle	-1.32000505141224	+	18.91387194576	47.2216936362445	34592407
chr1	34768816	34769216	vehicle	-1.01118156768087	+	54.5164544318965	109.881248653569	34769016
chr1	37123337	37123737	vehicle	-1.05308793188175	+	92.3441983234165	191.611103023992	37123537
chr1	39671925	39672325	vehicle	-1.06317198474676	+	27.8145175672941	58.1190075523009	39672125
chr1	40392187	40392587	vehicle	-1.11690396868455	+	38.9403245942118	84.4541828494372	40392387
chr1	41448392	41448792	vehicle	-1.05752542160562	+	22.2516140538353	46.3135841432398	41448592
chr1	41728151	41728551	vehicle	-1.05280301136322	+	26.7019368646024	55.3946790732868	41728351
chr1	42899872	42900272	vehicle	-1.03483283574552	+	54.5164544318965	111.697467639578	42900072
chr1	47629132	47629532	vehicle	-1.11302053419733	+	22.2516140538353	48.1298031292492	47629332
chr1	47792207	47792607	vehicle	-1.01188275604991	+	18.91387194576	38.1405987061974	47792407
chr1	48061145	48061545	vehicle	-1.01736829513364	+	27.8145175672941	56.3027885662915	48061345
chr1	48228162	48228562	vehicle	-1.05661261231172	+	34.4900017834447	71.7406499473714	48228362
chr1	48547581	48547981	vehicle	-1.11141842960082	+	37.82774389152	81.7298543704231	48547781
chr1	49363627	49364027	vehicle	-1.74805544278154	+	28.9270982699859	97.167715751503	49363827
chr1	50450310	50450710	vehicle	-1.12206567380033	+	20.0264526484518	43.5892556642256	50450510
chr1	51063114	51063514	vehicle	-1.1014259077413	+	146.860652755313	315.113994072631	51063314
chr1	51624887	51625287	vehicle	-1.2733749970753	+	28.9270982699859	69.924430961362	51625087
chr1	51906302	51906702	vehicle	-1.17833389344708	+	24.4767754592188	55.3946790732868	51906502
chr1	54245501	54245901	vehicle	-1.16222280027231	+	34.4900017834447	77.1893069053996	54245701
chr1	54904620	54905020	vehicle	-1.21604182200935	+	28.9270982699859	67.2001024823479	54904820
chr1	54934844	54935244	vehicle	-1.55669390143706	+	53.4038737292048	157.102942289813	54935044
chr1	55007618	55008018	vehicle	-1.26254689735016	+	36.7151631888283	88.086620821456	55007818
chr1	55726966	55727366	vehicle	-1.17833389344708	+	73.4303263776565	166.18403721986	55727166
chr1	56376675	56377075	vehicle	-1.05752542160562	+	111.258070269177	231.567920716199	56376875
chr1	56797352	56797752	vehicle	-1.02895626940885	+	17.8012912430683	36.324379720188	56797552
chr1	57422289	57422689	vehicle	-1.04263120630593	+	46.7283895130542	96.2596062584983	57422489
chr1	59738660	59739060	vehicle	-1.79449101577183	+	26.7019368646024	92.6271682864795	59738860
chr1	60103224	60103624	vehicle	-1.11822360750594	+	52.291293026513	113.513686625588	60103424
chr1	60972747	60973147	vehicle	-1.19381028130374	+	84.5561334045742	193.427322010001	60972947
chr1	61170242	61170642	vehicle	-1.17097527428128	+	32.2648403780612	72.6487594403761	61170442
chr1	62151971	62152371	vehicle	-1.1506348259971	+	27.8145175672941	61.7514455243197	62152171
chr1	62912003	62912403	vehicle	-1.0695982539062	+	15.5761298376847	32.6919417481692	62912203
chr1	63946822	63947222	vehicle	-1.47641524638007	+	24.4767754592188	68.1082119753526	63947022
chr1	64082464	64082864	vehicle	-1.06458017913957	+	17.8012912430683	37.2324892131927	64082664
chr1	64915826	64916226	vehicle	-1.06250882911988	+	37.82774389152	79.005525891409	64916026
chr1	65509897	65510297	vehicle	-1.0007593775782	+	34.4900017834447	69.0163214683573	65510097
chr1	66302839	66303239	vehicle	-1.34048919293383	+	43.3906474049789	109.881248653569	66303039
chr1	67552304	67552704	vehicle	-1.22160134735125	+	15.5761298376847	36.324379720188	67552504
chr1	67791672	67792072	vehicle	-1.34325934555315	+	143.522910647238	364.151906694885	67791872
chr1	69492330	69492730	vehicle	-1.84904717939392	+	32.2648403780612	116.238015104602	69492530
chr1	69710475	69710875	vehicle	-1.24046037460256	+	42.2780667022871	99.8920442305171	69710675
chr1	70044868	70045268	vehicle	-1.04231465226387	+	95.6819404314919	197.05975998202	70045068
