seqnames	start	end	width	strand	name	log2FC.CD28.negative_vs_CD28.positive.	strand.1	CD28.negative	CD28.positive	summit	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	GENENAME
chr1	2443845	2444244	400	*	CD28-positive	-1.20121239000552	+	22.220376664924	51.0919380709143	2444044	Intron (ENST00000609981.5/9651, intron 2 of 3)	1	2425980	2479804	53825	1	9651	ENST00000609981.5	17865	PLCH2
chr1	4267446	4267845	400	*	CD28-positive	-1.11911130979063	+	55.55094166231	120.663938848329	4267645	Distal Intergenic	1	4412027	4424689	12663	1	284661	ENST00000635002.1	-144182	RP5-1166F10.1
chr1	4328414	4328813	400	*	CD28-positive	-1.10605515696518	+	16.665282498693	35.8730629008547	4328613	Distal Intergenic	1	4412027	4424689	12663	1	284661	ENST00000635002.1	-83214	RP5-1166F10.1
chr1	7526997	7527396	400	*	CD28-negative	1.03400407168851	+	104.620940130684	51.0919380709143	7527196	Intron (ENST00000303635.12/23261, intron 6 of 22)	1	7382487	7389754	7268	2	102725193	ENST00000618051.1	-137243	NA
chr1	7747630	7748029	400	*	CD28-positive	-1.23158603904904	+	20.3686786095137	47.8307505344729	7747829	Exon (ENST00000303635.12/23261, exon 19 of 23)	1	7744961	7766522	21562	1	23261	ENST00000476864.1	2669	CAMTA1
chr1	8147100	8147499	400	*	CD28-negative	1.00287921458799	+	111.10188332462	55.4401881195027	8147299	Distal Intergenic	1	8201518	8215207	13690	1	102724539	ENST00000670361.1	-54019	RP11-431K24.3
chr1	8167240	8167639	400	*	CD28-positive	-1.5535141339364	+	16.665282498693	48.91781304662	8167439	Distal Intergenic	1	8201518	8215207	13690	1	102724539	ENST00000670361.1	-33879	RP11-431K24.3
chr1	8197789	8198188	400	*	CD28-negative	1.05381617981321	+	36.1081120805015	17.3930001943538	8197988	Distal Intergenic	1	8201518	8215207	13690	1	102724539	ENST00000670361.1	-3330	RP11-431K24.3
chr1	9573683	9574082	400	*	CD28-positive	-1.13428883769412	+	21.2945276372188	46.7436880223258	9573882	Intron (ENST00000302692.7/84275, intron 5 of 6)	1	9588911	9614877	25967	1	199953	ENST00000340381.11	-14829	TMEM201
chr1	12518924	12519323	400	*	CD28-negative	1.05792057814595	+	40.7373572190273	19.567125218648	12519123	Distal Intergenic	1	12507246	12507397	152	1	677882	ENST00000459326.1	11678	SNORA59B
