seqnames	start	end	width	strand	name	log2FC.IFNy_vs_vehicle.	strand.1	IFNy	vehicle	summit	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	GENENAME
chr1	3441383	3441782	400	*	vehicle	-1.53015041243741	+	14.463549134993	41.7730366782162	3441582	Distal Intergenic	1	3454665	3481113	26449	1	27237	ENST00000378378.9	-12883	ARHGEF16
chr1	3543315	3543714	400	*	vehicle	-1.12082996062766	+	162.436782592998	353.254592778829	3543514	Intron (ENST00000356575.9/1953, intron 4 of 36)	1	3489920	3531448	41529	2	1953	ENST00000294599.8	-11867	MEGF6
chr1	4428766	4429165	400	*	vehicle	-1.72197851598746	+	26.7019368646024	88.086620821456	4428965	Distal Intergenic	1	4416311	4424689	8379	1	284661	ENST00000635642.1	12455	RP5-1166F10.1
chr1	4644990	4645389	400	*	vehicle	-1.07899695190845	+	18.91387194576	39.9568176922068	4645189	Distal Intergenic	1	4654609	4792534	137926	1	55966	ENST00000378191.5	-9220	AJAP1
chr1	4752060	4752459	400	*	vehicle	-1.1255295291039	+	57.8541965399718	126.227219527653	4752259	Intron (ENST00000378191.5/55966, intron 2 of 5)	1	4711155	4712165	1011	1	55966	ENST00000466761.1	40905	AJAP1
chr1	7046297	7046696	400	*	vehicle	-1.18236618406815	+	45.6158088103624	103.524482202536	7046496	Intron (ENST00000303635.12/23261, intron 3 of 22)	1	6874056	6887842	13787	1	23261	ENST00000467267.1	172241	CAMTA1
chr1	8412168	8412567	400	*	vehicle	-1.27092905971482	+	25.5893561619106	61.7514455243197	8412367	Intron (ENST00000337907.7/473, intron 13 of 23)	1	8365855	8423419	57565	2	473	ENST00000460659.5	10852	RERE
chr1	11180350	11180749	400	*	vehicle	-1.50672952403566	+	30.0396789726777	85.3622923424419	11180549	Intron (ENST00000361445.9/2475, intron 28 of 57)	1	11189355	11195981	6627	1	10218	ENST00000376819.4	-8606	ANGPTL7
chr1	12798949	12799348	400	*	vehicle	-1.05216366057018	+	41.1654859995953	85.3622923424419	12799148	Distal Intergenic	1	12794691	12796485	1795	1	65121	ENST00000400814.3	4258	PRAMEF1
chr1	14443512	14443911	400	*	vehicle	-1.26996436891265	+	73.4303263776565	177.081351135917	14443711	Intron (ENST00000636203.1/23254, intron 2 of 16)	1	14390655	14419973	29319	2	105376762	ENST00000670776.1	-23539	NA
chr1	14653497	14653896	400	*	vehicle	-1.17097527428128	+	32.2648403780612	72.6487594403761	14653696	Intron (ENST00000636203.1/23254, intron 3 of 16)	1	14598717	15065797	467081	1	23254	ENST00000503743.5	54780	KAZN
