CHR	START	END	name	log2FC(CD28-negative_vs_CD28-positive)	strand	CD28-negative	CD28-positive	summit
chr1	2443844	2444244	CD28-positive	-1.20121239000552	+	22.220376664924	51.0919380709143	2444044
chr1	4267445	4267845	CD28-positive	-1.11911130979063	+	55.55094166231	120.663938848329	4267645
chr1	4328413	4328813	CD28-positive	-1.10605515696518	+	16.665282498693	35.8730629008547	4328613
chr1	7747629	7748029	CD28-positive	-1.23158603904904	+	20.3686786095137	47.8307505344729	7747829
chr1	8167239	8167639	CD28-positive	-1.5535141339364	+	16.665282498693	48.91781304662	8167439
chr1	9573682	9574082	CD28-positive	-1.13428883769412	+	21.2945276372188	46.7436880223258	9573882
chr1	15501385	15501785	CD28-positive	-1.02008193385533	+	20.3686786095137	41.3083754615903	15501585
chr1	20332953	20333353	CD28-positive	-1.29047972810261	+	22.220376664924	54.3531256073556	20333153
chr1	31505935	31506335	CD28-positive	-1.07288829302998	+	22.220376664924	46.7436880223258	31506135
chr1	51442182	51442582	CD28-positive	-1.02008193385533	+	20.3686786095137	41.3083754615903	51442382
chr1	53498722	53499122	CD28-positive	-1.03894096110664	+	25.9237727757447	53.2660630952085	53498922
chr1	75981133	75981533	CD28-positive	-1.23158603904904	+	23.1462256926292	54.3531256073556	75981333
chr1	89034015	89034415	CD28-positive	-1.5660050781196	+	21.2945276372188	63.0496257045325	89034215
chr1	97377358	97377758	CD28-positive	-1.04872198189923	+	19.4428295818085	40.2213129494431	97377558
chr1	111556295	111556695	CD28-positive	-1.15758545760526	+	18.5169805541033	41.3083754615903	111556495
chr1	115680055	115680455	CD28-positive	-1.13600837906681	+	36.1081120805015	79.3555633867392	115680255
chr1	116711250	116711650	CD28-positive	-1.1441231977987	+	15.7394334709878	34.7860003887076	116711450
chr1	147762440	147762840	CD28-positive	-1.1161088216291	+	24.0720747203343	52.1790005830614	147762640
chr1	151815723	151816123	CD28-positive	-1.02513516158161	+	55.55094166231	113.0545012633	151815923
chr1	171923015	171923415	CD28-positive	-1.26400751674142	+	20.3686786095137	48.91781304662	171923215
chr1	173154058	173154458	CD28-positive	-1.27222802354638	+	32.4047159696808	78.2685008745921	173154258
chr1	173809520	173809920	CD28-positive	-1.15358352704777	+	17.5911315263982	39.134250437296	173809720
chr1	192966065	192966465	CD28-positive	-1.00602633863391	+	35.1822630527963	70.6590632895623	192966265
chr1	229129250	229129650	CD28-positive	-1.00296166400108	+	53.6992436068996	107.619188702564	229129450
chr1	230922631	230923031	CD28-positive	-1.03894096110664	+	18.5169805541033	38.0471879251489	230922831
chr1	232578626	232579026	CD28-positive	-1.1644718431905	+	40.7373572190273	91.3132510203574	232578826
chr1	241886169	241886569	CD28-positive	-1.19094405455169	+	16.665282498693	38.0471879251489	241886369
chr10	5949334	5949734	CD28-positive	-1.56862102632661	+	17.5911315263982	52.1790005830614	5949534
chr10	9229735	9230135	CD28-positive	-1.02299941723762	+	24.0720747203343	48.91781304662	9229935
chr10	27541702	27542102	CD28-positive	-1.17348308448547	+	35.1822630527963	79.3555633867392	27541902
chr10	31509971	31510371	CD28-positive	-1.06166103760673	+	24.9979237480395	52.1790005830614	31510171
chr10	35459435	35459835	CD28-positive	-1.20495091254557	+	75.9196202718236	175.017064455685	35459635
chr10	45803036	45803436	CD28-positive	-1.45397846038549	+	24.9979237480395	68.4849382652681	45803236
chr10	47448964	47449364	CD28-positive	-1.01399460397641	+	23.1462256926292	46.7436880223258	47449164
chr10	58550803	58551203	CD28-positive	-1.08573517258558	+	24.0720747203343	51.0919380709143	58551003
chr10	70432889	70433289	CD28-positive	-1.06808730676616	+	25.9237727757447	54.3531256073556	70433089
chr10	77281733	77282133	CD28-positive	-1.07958294560399	+	18.5169805541033	39.134250437296	77281933
chr10	79027571	79027971	CD28-positive	-1.00179895754147	+	150.913391515942	302.203378376897	79027771
chr10	87013573	87013973	CD28-positive	-1.03894096110664	+	22.220376664924	45.6566255101787	87013773
chr10	88130919	88131319	CD28-positive	-1.23158603904904	+	19.4428295818085	45.6566255101787	88131119
chr10	92462957	92463357	CD28-positive	-1.11129180533133	+	23.1462256926292	50.0048755587672	92463157
chr10	109978361	109978761	CD28-positive	-1.02378115393564	+	37.9598101359118	77.181438362445	109978561
chr10	114930397	114930797	CD28-positive	-1.00531018322536	+	28.7013198588602	57.6143131437969	114930597
chr11	970254	970654	CD28-positive	-1.47951355249262	+	22.220376664924	61.9625631923854	970454
chr11	7592735	7593135	CD28-positive	-1.04603038589296	+	53.6992436068996	110.880376239005	7592935
chr11	35330915	35331315	CD28-positive	-1.00363409237069	+	180.540560402507	361.991816544988	35331115
chr11	43377378	43377778	CD28-positive	-1.33112171259995	+	25.9237727757447	65.2237507288267	43377578
chr11	65595351	65595751	CD28-positive	-1.03894096110664	+	62.9577338839513	129.360438945506	65595551
chr11	78552968	78553368	CD28-positive	-1.06931461015016	+	43.5149043021428	91.3132510203574	78553168
chr11	78801087	78801487	CD28-positive	-1.15758545760526	+	18.5169805541033	41.3083754615903	78801287
chr11	85395534	85395934	CD28-positive	-1.08884586693296	+	63.8835829116565	135.882814018389	85395734
chr11	129024052	129024452	CD28-positive	-1.12849254608493	+	26.8496218034498	58.7013756559441	129024252
chr11	134588977	134589377	CD28-positive	-1.00919361771259	+	38.885659163617	78.2685008745921	134589177
chr12	259092	259492	CD28-positive	-1.02008193385533	+	40.7373572190273	82.6167509231805	259292
chr12	3947811	3948211	CD28-positive	-1.03894096110664	+	48.1441494406686	98.9226886053872	3948011
chr12	6200179	6200579	CD28-positive	-1.21471222048464	+	39.8115081913221	92.4003135325045	6200379
chr12	9685927	9686327	CD28-positive	-1.18267643856809	+	27.775470831155	63.0496257045325	9686127
chr12	14185898	14186298	CD28-positive	-1.00531018322536	+	28.7013198588602	57.6143131437969	14186098
chr12	50986955	50987355	CD28-positive	-1.10034150577079	+	42.5890552744376	91.3132510203574	50987155
chr12	122878248	122878648	CD28-positive	-1.16839221256184	+	64.8094319393616	145.666376627713	122878448
chr13	23592587	23592987	CD28-positive	-1.40151104049135	+	18.5169805541033	48.91781304662	23592787
chr13	27432545	27432945	CD28-positive	-1.23158603904904	+	19.4428295818085	45.6566255101787	27432745
chr13	49777935	49778335	CD28-positive	-1.05470827696496	+	24.0720747203343	50.0048755587672	49778135
chr13	52859673	52860073	CD28-positive	-1.52248723831578	+	43.5149043021428	125.012188896918	52859873
