seqnames	start	end	width	strand	name	log2FC.CD28.negative_vs_CD28.positive.	strand.1	CD28.negative	CD28.positive	summit	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	GENENAME
chr1	7526997	7527396	400	*	CD28-negative	1.03400407168851	+	104.620940130684	51.0919380709143	7527196	Intron (ENST00000303635.12/23261, intron 6 of 22)	1	7382487	7389754	7268	2	102725193	ENST00000618051.1	-137243	NA
chr1	8147100	8147499	400	*	CD28-negative	1.00287921458799	+	111.10188332462	55.4401881195027	8147299	Distal Intergenic	1	8201518	8215207	13690	1	102724539	ENST00000670361.1	-54019	RP11-431K24.3
chr1	8197789	8198188	400	*	CD28-negative	1.05381617981321	+	36.1081120805015	17.3930001943538	8197988	Distal Intergenic	1	8201518	8215207	13690	1	102724539	ENST00000670361.1	-3330	RP11-431K24.3
chr1	12518924	12519323	400	*	CD28-negative	1.05792057814595	+	40.7373572190273	19.567125218648	12519123	Distal Intergenic	1	12507246	12507397	152	1	677882	ENST00000459326.1	11678	SNORA59B
chr1	23904705	23905104	400	*	CD28-negative	1.04525416630979	+	116.656977490851	56.5272506316498	23904904	Intron (ENST00000374472.5/1269, intron 1 of 1)	1	23870515	23913362	42848	2	1269	ENST00000374472.5	8258	CNR2
chr1	36458883	36459282	400	*	CD28-negative	1.12830990603734	+	71.2903751332978	32.6118753644134	36459082	Promoter	1	36455772	36459703	3932	2	64960	ENST00000488606.5	421	MRPS15
chr1	39452626	39453025	400	*	CD28-negative	1.44301367415679	+	76.8454692995288	28.2636253158249	39452825	Promoter	1	39452533	39453749	1217	1	23499	ENST00000487656.1	93	MACF1
chr1	39666758	39667157	400	*	CD28-negative	1.11521672447735	+	108.324336241504	50.0048755587672	39666957	Intron (ENST00000235628.1/84618, intron 1 of 5)	1	39659121	39672038	12918	2	84618	ENST00000235628.1	4881	NT5C1A
chr1	41487401	41487800	400	*	CD28-negative	1.35952868865371	+	217.574521510714	84.7908759474747	41487600	Distal Intergenic	1	41478775	41484683	5909	2	1907	ENST00000372587.5	-2718	EDN2
chr1	42017242	42017641	400	*	CD28-negative	1.11155854174802	+	126.841316795608	58.7013756559441	42017441	Intron (ENST00000489103.5/59269, intron 1 of 3)	1	41847191	42035925	188735	2	59269	ENST00000489103.5	18284	HIVEP3
chr1	47351313	47351712	400	*	CD28-negative	1.07507529918501	+	43.5149043021428	20.6541877307951	47351512	Intron (ENST00000371873.9/51727, intron 1 of 5)	1	47333941	47373443	39503	1	51727	ENST00000371870.3	17372	CMPK1
chr1	59272476	59272875	400	*	CD28-negative	1.76841396095096	+	88.881506659696	26.0895002915307	59272675	Intron (ENST00000647858.1/729467, intron 3 of 4)	1	59131960	59296491	164532	2	729467	ENST00000647858.1	23616	HSD52
